,housing_units,housing_density,change_hunits,percent_of_rent_to_total,owned_homes,med_homeval,med_rental_rate,med_owner_cost,med_own_cost_aspercentof_income,med_hval_aspercentof_medearn,med_hcost_ownmortg,med_hcost_own_wo_mortg,hcost_aspercentof_hincome_ownmortg,hcost_as_perc_of_hincome_womortg,med_real_estate_taxes,family_members_per_hunit,median_num_ofrooms,median_year_house_built,household_size_of_howners,household_size_for_renters,med_year_moved_in_for_owners,med_year_renter_moved_in,studio_1000_1499,studio_1500_more,studio_750_999,onebed_1000_1499,onebed_1500_more,onebed_750_999,twobed_1000_1499,twobed_1500_more,twobed_750_999,threebed_1000_1499,threebed_1500_more,threebed_750_999,city,Latitude,Longitude,population,area_total_sq_mi
0,8751.0,156.2,-3.7,50.7,49.3,151600.0,1059.0,1093.0,24.0,427.0,1260.0,406.0,28.0,15.0,1766.0,4.4,5.5,1997.0,3.7,4.1,2007.0,2013.0,0.0,0.0,0.379,0.003,0.032,0.096,0.131,0.032,0.508,0.583,0.13699999999999998,0.18100000000000002,Adelanto,34.582769,-117.40921399999999,32867.0,56.027
1,7674.0,984.7,1.2,25.6,74.4,745000.0,2261.0,2488.0,23.0,928.0,2943.0,844.0,26.0,10.0,5345.0,3.3,6.5,1980.0,2.8,2.8,2001.0,2012.0,0.0,1.0,0.0,0.105,0.895,0.0,0.064,0.899,0.038,0.0,0.9620000000000001,0.0,AgouraHills,34.153339,-118.761675,20736.0,7.822
2,32414.0,3104.1,0.2,53.0,47.0,729100.0,1607.0,2259.0,21.0,1006.0,2833.0,679.0,24.0,10.0,6036.0,3.2,4.8,1962.0,2.7,2.4,2000.0,2011.0,0.397,0.312,0.142,0.461,0.39399999999999996,0.057999999999999996,0.261,0.633,0.019,0.11900000000000001,0.667,0.036000000000000004,Alameda,37.765206,-122.24163600000001,78246.0,22.96
3,7724.0,4319.4,-2.1,52.4,47.6,766000.0,1739.0,2501.0,21.0,991.0,3014.0,694.0,23.0,13.0,6975.0,3.2,4.5,1952.0,2.8,2.5,2002.0,2012.0,0.313,0.583,0.10400000000000001,0.5579999999999999,0.341,0.031,0.138,0.821,0.012,0.084,0.8490000000000001,0.0,Albany,37.886869,-122.297747,19682.0,5.465
4,30990.0,4061.1,0.2,59.7,40.3,553800.0,1286.0,1629.0,22.0,1296.0,2256.0,508.0,27.0,12.0,3953.0,3.5,4.0,1958.0,3.0,2.8,2000.0,2011.0,0.43200000000000005,0.042,0.29100000000000004,0.568,0.051,0.24,0.575,0.312,0.054000000000000006,0.18,0.629,0.039,Alhambra,34.095286,-118.12701399999999,85168.0,7.6320000000000014
5,19786.0,2859.5,4.9,39.8,60.2,582300.0,2092.0,2559.0,23.0,752.0,2699.0,743.0,25.0,10.0,4975.0,3.3,5.1,1994.0,2.8,2.5,2005.0,2012.0,0.121,0.626,0.0,0.094,0.85,0.013000000000000001,0.083,0.836,0.028999999999999998,0.044000000000000004,0.934,0.005,AlisoViejo,33.575,-117.72555600000001,50691.0,7.472
6,1526.0,626.8,8.5,38.0,62.0,93300.0,759.0,657.0,23.0,287.0,850.0,376.0,42.0,12.0,951.0,2.8,5.1,1957.0,2.1,1.6,1999.0,2011.0,,,0.0,,,0.0,,,0.442,,,0.9279999999999999,Alturas,41.487114,-120.542456,2613.0,2.449
7,123.0,392.0,13.9,54.7,45.3,275000.0,839.0,1175.0,17.0,653.0,1363.0,500.0,18.0,14.0,1442.0,2.8,4.8,1958.0,1.5,2.1,1997.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.643,1.0,0.0,0.0,0.14300000000000002,0.321,0.0,AmadorCity,38.419356,-120.82410300000001,148.0,0.314
8,5666.0,931.8,-5.3,21.5,78.5,418600.0,1762.0,1911.0,22.0,763.0,2320.0,498.0,25.0,10.0,3680.0,4.1,6.2,1999.0,3.7,3.7,2006.0,2012.0,0.0,0.0,0.0,0.23800000000000002,0.5,0.025,0.19,0.43799999999999994,0.22899999999999998,0.11900000000000001,0.8240000000000001,0.023,AmericanCanyon,38.174917,-122.26080300000001,20341.0,4.845
9,104533.0,2091.7,0.3,55.1,44.9,491400.0,1469.0,1934.0,23.0,1209.0,2305.0,537.0,27.0,10.0,3563.0,4.1,4.7,1972.0,3.5,3.4,2001.0,2012.0,0.493,0.258,0.10300000000000001,0.599,0.19899999999999998,0.092,0.392,0.536,0.024,0.135,0.774,0.021,Anaheim,33.835291999999995,-117.914503,349007.0,50.81100000000001
